Air_state,Air_date,Air_value
NC,2020/1/20,20.3
ND,2020/1/20,35
NE,2020/1/20,26
NH,2020/1/20,30.3
NJ,2020/1/20,36.8
NM,2020/1/20,39.9
NV,2020/1/20,32.7
NY,2020/1/20,33.7
OH,2020/1/20,27.4
OK,2020/1/20,24.3
OR,2020/1/20,42.3
PA,2020/1/20,37.4
SC,2020/1/20,28.4
SD,2020/1/20,33.9
TN,2020/1/20,23.1
TX,2020/1/20,31.4
UT,2020/1/20,51.6
VA,2020/1/20,26.6
VT,2020/1/20,38
WA,2020/1/20,38
WI,2020/1/20,38.1
WV,2020/1/20,33
WY,2020/1/20,41.2
AK,2020/1/21,40.5
AL,2020/1/21,29.4
AR,2020/1/21,36.8
AZ,2020/1/21,28.5
CA,2020/1/21,43.5
CO,2020/1/21,36.4
CT,2020/1/21,33.7
DE,2020/1/21,34.5
FL,2020/1/21,40
GA,2020/1/21,38.4
HI,2020/1/21,24.7
IA,2020/1/21,65.7
ID,2020/1/21,33.8
IL,2020/1/21,61.3
IN,2020/1/21,46.6
KS,2020/1/21,47.5
KY,2020/1/21,47.8
LA,2020/1/21,32.7
MA,2020/1/21,44.2
MD,2020/1/21,37.7
ME,2020/1/21,37.3
MI,2020/1/21,32.7
MN,2020/1/21,45.3
MO,2020/1/21,29
MS,2020/1/21,43.5
MT,2020/1/21,42.4
NC,2020/1/21,21.7
ND,2020/1/21,30.3
NE,2020/1/21,39
NH,2020/1/21,32.3
NJ,2020/1/21,32.5
NM,2020/1/21,35.3
NV,2020/1/21,34.7
NY,2020/1/21,35.9
OH,2020/1/21,30.9
OK,2020/1/21,36.3
OR,2020/1/21,26.1
PA,2020/1/21,37
SC,2020/1/21,32
SD,2020/1/21,37.4
